riskId,title,description,tier,status,framework,riskOwner,likelihood,impact,treatmentPlan,acceptanceCriteria,soc2Criteria,tscCategory
R-01,Information Security Governance,"Risk of inadequate security governance including missing policies, unclear roles, lack of management commitment, and insufficient resource allocation for information security",CORE,ASSESSED,ISO,CISO / Security Manager,,,,,,
R-02,External Parties & Threat Intelligence,"Risk of inadequate relationships with authorities, security communities, and threat intelligence sources leading to delayed incident reporting and missed early warnings",EXTENDED,ASSESSED,ISO,CISO / Security Manager,,,,,,
R-03,Security in Projects & Change,"Risk of security not being integrated into project management and change processes, leading to vulnerabilities in new systems and changes",EXTENDED,ASSESSED,ISO,PMO / IT Director,,,,,,
R-04,Asset Management,"Risk of unknown, unmanaged, or improperly classified information assets including shadow IT, missing inventory, and inadequate asset lifecycle management",CORE,ASSESSED,ISO,IT Asset Manager / IT Director,,,,,,
R-05,Data Classification & Handling,"Risk of sensitive data not being properly classified, labeled, or handled throughout its lifecycle including transfer, storage, and deletion",CORE,ASSESSED,ISO,Data Protection Officer / CISO,,,,,,
R-06,Identity & Access Management,"Risk of unauthorized access due to weak authentication, excessive privileges, orphaned accounts, or inadequate access reviews",CORE,ASSESSED,ISO,IAM Manager / IT Director,,,,,,
R-07,Third-Party & Supply Chain,"Risk from third-party relationships including vendor data breaches, supply chain software compromise, and vendor access abuse",CORE,ASSESSED,ISO,Vendor Manager / CISO,,,,,,
R-08,Cloud Security,"Risk of cloud-specific threats including misconfiguration, identity compromise, shared responsibility gaps, and insecure cloud service usage",EXTENDED,ASSESSED,ISO,Cloud Security Lead / CISO,,,,,,
R-09,Personnel Security Lifecycle,"Risk from inadequate personnel security including insufficient screening, missing employment terms, and insecure termination processes",CORE,ASSESSED,ISO,HR Director / CISO,,,,,,
R-10,Security Awareness & Culture,"Risk of human error and social engineering due to inadequate security awareness training, poor reporting culture, and lack of accountability",CORE,ASSESSED,ISO,Security Awareness Lead / HR,,,,,,
R-11,Remote & Mobile Working,"Risk from remote working arrangements including insecure home networks, unmanaged devices, and lack of remote work policies",EXTENDED,ASSESSED,ISO,IT Director / CISO,,,,,,
R-12,Physical Security,"Risk of unauthorized physical access to facilities, secure areas, and equipment including inadequate perimeters, entry controls, and monitoring",EXTENDED,ASSESSED,ISO,Facilities Manager / Physical Security,,,,,,
R-13,Environmental Security,"Risk of environmental threats to information processing facilities including fire, flood, power failure, and inadequate supporting utilities",CORE,ASSESSED,ISO,Facilities Manager / IT Operations,,,,,,
R-14,Equipment Security,"Risk related to equipment including theft, improper disposal, media handling, and maintenance failures",EXTENDED,ASSESSED,ISO,IT Operations / Asset Manager,,,,,,
R-15,Endpoint Security,"Risk from endpoints including unmanaged devices, BYOD, inadequate controls, and USB-based threats",CORE,ASSESSED,ISO,Endpoint Security Lead / IT Operations,,,,,,
R-16,Malware & Ransomware,"Risk of malware infection including ransomware, cryptominers, and other malicious code impacting confidentiality, integrity, and availability",CORE,ASSESSED,ISO,SOC Manager / Security Operations,,,,,,
R-17,Network Security,"Risk of network-based attacks including inadequate segmentation, insecure services, and lack of web filtering",CORE,ASSESSED,ISO,Network Security Lead / IT Operations,,,,,,
R-18,Vulnerability Management,"Risk of exploitation of technical vulnerabilities including unpatched systems, zero-days, and configuration weaknesses",CORE,ASSESSED,ISO,Vulnerability Manager / Security Operations,,,,,,
R-19,Secure Development Lifecycle,"Risk of insecure software development including missing security requirements, insecure coding, and inadequate testing",EXTENDED,ASSESSED,ISO,AppSec Lead / Development Manager,,,,,,
R-20,Application Security,"Risk of application-level vulnerabilities including vulnerable dependencies, source code exposure, and outsourced development issues",EXTENDED,ASSESSED,ISO,AppSec Lead / Development Manager,,,,,,
R-21,Cryptographic Failures,"Risk of cryptographic weaknesses including weak algorithms, poor key management, and inadequate encryption implementation",CORE,ASSESSED,ISO,Security Architecture / CISO,,,,,,
R-22,Logging & Monitoring,"Risk of inadequate security monitoring including missing logs, lack of SIEM, and inability to detect security events",CORE,ASSESSED,ISO,SOC Manager / Security Operations,,,,,,
R-23,Incident Management,"Risk of inadequate incident management including poor planning, ineffective response, and failure to learn from incidents",CORE,ASSESSED,ISO,IR Manager / SOC Manager,,,,,,
R-24,Business Continuity & Disaster Recovery,"Risk of inability to recover from disruptions including failed backups, inadequate DR planning, and untested recovery procedures",CORE,ASSESSED,ISO,BC/DR Manager / IT Operations,,,,,,
R-25,Compliance & Legal,"Risk of non-compliance with legal, regulatory, and contractual requirements including privacy violations, IP issues, and audit failures",CORE,ASSESSED,ISO,Compliance Manager / Legal / DPO,,,,,,
