kriId,riskId,name,description,formula,unit,frequency,dataSource,automated,thresholdGreen,thresholdAmber,thresholdRed,tier,framework
KRI-001,R-01,Information Security Policy Currency,Measures whether key security policies are reviewed and approved within defined timeframes,(Number of policies reviewed on schedule / Total policies requiring review) × 100,%,QUARTERLY,GRC System / Document Management,True,≥95%,80-94%,<80%,CORE,ISO
KRI-002,R-01,Security Roles Assignment Completeness,Percentage of defined security roles that have assigned accountable individuals,(Security roles with assigned owners / Total defined security roles) × 100,%,QUARTERLY,RACI Matrix / HR System,False,100%,90-99%,<90%,EXTENDED,ISO
KRI-003,R-01,SoD Violations,Number of identified segregation of duties conflicts in critical systems,Count of active SoD violations in critical systems,Count,MONTHLY,IAM System / SoD Tool,True,0,1-5,>5,CORE,ISO
KRI-004,R-02,Threat Intelligence Integration,Percentage of critical threat feeds integrated and actively consumed,(Active threat feeds / Subscribed threat feeds) × 100,%,MONTHLY,TIP / SIEM,True,≥90%,70-89%,<70%,EXTENDED,ISO
KRI-005,R-02,Authority Contact List Currency,Whether authority/regulator contact list is reviewed and current,Days since last review of authority contact list,Days,QUARTERLY,IR Documentation,False,<90 days,90-180 days,>180 days,ADVANCED,ISO
KRI-006,R-03,Projects with Security Review,Percentage of projects that completed security review before go-live,(Projects with security sign-off / Total projects deployed) × 100,%,QUARTERLY,PMO / Security Team,False,100%,90-99%,<90%,CORE,ISO
KRI-007,R-03,Emergency Change Rate,Percentage of changes classified as emergency bypassing normal CAB,(Emergency changes / Total changes) × 100,%,MONTHLY,ITSM / Change Management,True,<5%,5-10%,>10%,EXTENDED,ISO
KRI-008,R-03,Failed Change Rate,Percentage of changes that were rolled back or caused incidents,(Failed changes / Total changes) × 100,%,MONTHLY,ITSM,True,<2%,2-5%,>5%,EXTENDED,ISO
KRI-009,R-04,Asset Inventory Coverage,Percentage of IT assets discovered that are in the CMDB,(Assets in CMDB / Assets discovered by scanning) × 100,%,MONTHLY,CMDB / Discovery Tool,True,≥95%,85-94%,<85%,CORE,ISO
KRI-010,R-04,Shadow IT Instances Detected,Number of unapproved cloud services discovered in use,Count of unapproved SaaS/cloud services detected,Count,MONTHLY,CASB / Network Monitoring,True,0-5,6-15,>15,EXTENDED,ISO
KRI-011,R-05,Data Classification Coverage,Percentage of data repositories with classification applied,(Classified repositories / Total data repositories) × 100,%,QUARTERLY,DLP / Data Discovery Tool,True,≥90%,70-89%,<70%,CORE,ISO
KRI-012,R-05,Unencrypted Sensitive Data Transfers,Number of sensitive data transfers detected without encryption,Count of unencrypted sensitive data transfers detected,Count,WEEKLY,DLP / Network Monitoring,True,0,1-5,>5,CORE,ISO
KRI-013,R-05,Data Retention Policy Compliance,Percentage of data stores compliant with retention policy,(Compliant data stores / Total data stores) × 100,%,QUARTERLY,Data Management System,False,≥95%,80-94%,<80%,EXTENDED,ISO
KRI-014,R-06,MFA Adoption Rate,Percentage of user accounts with MFA enabled,(Accounts with MFA / Total user accounts) × 100,%,MONTHLY,IAM / IdP,True,≥98%,90-97%,<90%,CORE,ISO
KRI-015,R-06,Orphaned Accounts,Number of accounts belonging to terminated employees still active,Count of active accounts for terminated employees,Count,WEEKLY,IAM / HR System Cross-Reference,True,0,1-5,>5,CORE,ISO
KRI-016,R-06,Access Review Completion Rate,Percentage of access reviews completed on schedule,(Completed access reviews / Scheduled access reviews) × 100,%,QUARTERLY,IGA System,True,100%,90-99%,<90%,CORE,ISO
KRI-017,R-06,Privileged Account Count,Number of accounts with privileged/admin access,Count of accounts in privileged groups,Count,MONTHLY,IAM / PAM,True,Within baseline ±10%,Within baseline ±25%,>25% above baseline,EXTENDED,ISO
KRI-018,R-07,Vendor Security Assessment Coverage,Percentage of critical/high-risk vendors with current security assessment,(Assessed vendors / Total critical vendors) × 100,%,QUARTERLY,Vendor Risk Management System,False,100%,90-99%,<90%,CORE,ISO
KRI-019,R-07,Vendor SOC 2 Report Currency,Percentage of critical vendors with valid SOC 2 Type II report,(Vendors with current SOC 2 / Total vendors requiring SOC 2) × 100,%,QUARTERLY,Vendor Risk Management,False,100%,90-99%,<90%,CORE,ISO
KRI-020,R-07,Vendor Security Rating Score,Average external security rating of critical vendors,Mean score from BitSight/SecurityScorecard for critical vendors,Score,MONTHLY,BitSight / SecurityScorecard,True,≥750,650-749,<650,EXTENDED,ISO
KRI-021,R-07,Third-Party Security Incidents,Number of security incidents involving third parties in reporting period,Count of incidents with vendor involvement,Count,QUARTERLY,Incident Management System,False,0,1-2,>2,CORE,ISO
KRI-022,R-07,SBOM Coverage for Critical Applications,Percentage of critical applications with current SBOM,(Apps with SBOM / Total critical applications) × 100,%,QUARTERLY,SCA Tool / App Inventory,True,≥90%,70-89%,<70%,EXTENDED,ISO
KRI-023,R-08,Cloud Misconfiguration Findings,Number of high/critical misconfigurations detected in cloud environments,Count of high/critical findings from CSPM,Count,WEEKLY,CSPM Tool,True,0,1-10,>10,CORE,ISO
KRI-024,R-08,Cloud Admin MFA Coverage,Percentage of cloud admin accounts with MFA enabled,(Cloud admins with MFA / Total cloud admin accounts) × 100,%,MONTHLY,Cloud IAM,True,100%,95-99%,<95%,CORE,ISO
KRI-025,R-08,Public Cloud Resources,Number of cloud resources with public access enabled,"Count of S3 buckets, storage accounts, DBs with public access",Count,DAILY,CSPM Tool,True,0 (or approved only),1-3 unapproved,>3 unapproved,CORE,ISO
KRI-026,R-09,Background Check Completion Rate,Percentage of new hires in sensitive roles with completed background checks,(New hires with completed checks / Total new hires in sensitive roles) × 100,%,MONTHLY,HR System,False,100%,95-99%,<95%,CORE,ISO
KRI-027,R-09,Termination Access Revocation Time,Average time between termination and access revocation,Mean hours from HR termination to last access revoked,Hours,MONTHLY,IAM / HR System,True,<4 hours,4-24 hours,>24 hours,CORE,ISO
KRI-028,R-09,NDA Compliance for Sensitive Roles,Percentage of employees in sensitive roles with signed NDA,(Employees with NDA / Total in sensitive roles) × 100,%,QUARTERLY,HR System,False,100%,95-99%,<95%,EXTENDED,ISO
KRI-029,R-10,Security Awareness Training Completion,Percentage of employees who completed annual security training,(Employees completed training / Total employees) × 100,%,MONTHLY,LMS / Training System,True,≥95%,85-94%,<85%,CORE,ISO
KRI-030,R-10,Phishing Simulation Click Rate,Percentage of employees who clicked simulated phishing email,(Employees who clicked / Total employees tested) × 100,%,MONTHLY,Phishing Simulation Tool,True,<5%,5-15%,>15%,CORE,ISO
KRI-031,R-10,Security Event Report Volume,Number of security events reported by employees,Count of employee-reported security events,Count,MONTHLY,Ticketing System,True,Trending up (good),Stable,Trending down (concerning),ADVANCED,ISO
KRI-032,R-11,VPN Usage for Remote Access,Percentage of remote sessions using corporate VPN,(VPN sessions / Total remote sessions) × 100,%,WEEKLY,VPN / ZTNA Logs,True,≥98%,90-97%,<90%,EXTENDED,ISO
KRI-033,R-11,Mobile Device Compliance Rate,Percentage of mobile devices compliant with security policy,(Compliant devices / Total enrolled devices) × 100,%,WEEKLY,MDM / EMM,True,≥95%,85-94%,<85%,CORE,ISO
KRI-034,R-12,Physical Access Control Effectiveness,Number of unauthorized physical access attempts detected,Count of failed/unauthorized badge attempts to secure areas,Count,MONTHLY,PACS,True,<5,5-20,>20,EXTENDED,ISO
KRI-035,R-12,Visitor Log Compliance,Percentage of visitors properly logged and escorted,(Properly logged visitors / Total visitors) × 100,%,MONTHLY,Visitor Management System,False,100%,95-99%,<95%,ADVANCED,ISO
KRI-036,R-13,Environmental Monitoring Uptime,Percentage uptime of environmental monitoring systems,(Monitoring system uptime / Total time) × 100,%,MONTHLY,BMS / Environmental Monitoring,True,≥99.9%,99-99.8%,<99%,EXTENDED,ISO
KRI-037,R-13,UPS/Generator Test Compliance,Whether UPS and generator tests completed on schedule,(Tests completed on schedule / Scheduled tests) × 100,%,QUARTERLY,Facilities Maintenance System,False,100%,90-99%,<90%,EXTENDED,ISO
KRI-038,R-14,Equipment Disposal Compliance,Percentage of disposed equipment with verified data sanitization,(Verified sanitized / Total disposed) × 100,%,QUARTERLY,Asset Disposal Records,False,100%,95-99%,<95%,EXTENDED,ISO
KRI-039,R-15,EDR Coverage,Percentage of endpoints with active EDR agent,(Endpoints with EDR / Total managed endpoints) × 100,%,WEEKLY,EDR Console,True,≥98%,95-97%,<95%,CORE,ISO
KRI-040,R-15,Endpoint Encryption Coverage,Percentage of endpoints with full disk encryption enabled,(Encrypted endpoints / Total endpoints) × 100,%,WEEKLY,Encryption Management / MDM,True,100%,95-99%,<95%,CORE,ISO
KRI-041,R-16,Malware Detection Rate,Number of malware detections in reporting period,Count of malware detections from EDR/AV,Count,WEEKLY,EDR / SIEM,True,Trending down,Stable,Trending up,CORE,ISO
KRI-042,R-16,Ransomware Readiness Score,Composite score of ransomware prevention/detection/recovery controls,"Weighted score of backup, segmentation, EDR, patching, user training",Score (0-100),QUARTERLY,Multiple / Assessment,False,≥80,60-79,<60,CORE,ISO
KRI-043,R-17,Network Segmentation Compliance,Percentage of network segments compliant with segmentation policy,(Compliant segments / Total segments) × 100,%,QUARTERLY,Network Configuration / Firewall,True,100%,90-99%,<90%,CORE,ISO
KRI-044,R-17,Blocked Malicious Traffic,Volume of blocked malicious traffic at perimeter,Count of blocked malicious connections,Count,WEEKLY,NGFW / IPS,True,Trending stable/down,20% increase,>50% increase,EXTENDED,ISO
KRI-045,R-18,Critical Vulnerability Remediation Time,Mean time to remediate critical vulnerabilities,Average days from discovery to remediation for critical vulns,Days,MONTHLY,Vulnerability Scanner,True,≤7 days,8-14 days,>14 days,CORE,ISO
KRI-046,R-18,Vulnerability Scan Coverage,Percentage of assets scanned for vulnerabilities in last 30 days,(Scanned assets / Total assets) × 100,%,MONTHLY,Vulnerability Scanner,True,≥95%,85-94%,<85%,CORE,ISO
KRI-047,R-18,Open Critical Vulnerabilities,Count of unpatched critical vulnerabilities older than SLA,Count of critical vulns open beyond remediation SLA,Count,WEEKLY,Vulnerability Scanner,True,0,1-5,>5,CORE,ISO
KRI-048,R-18,Patch Compliance Rate,Percentage of systems patched within policy timeframe,(Patched systems / Total systems) × 100,%,MONTHLY,Patch Management System,True,≥95%,85-94%,<85%,CORE,ISO
KRI-049,R-19,SAST Coverage in CI/CD,Percentage of applications with SAST integrated in pipeline,(Apps with SAST / Total apps in CI/CD) × 100,%,MONTHLY,CI/CD / SAST Tool,True,≥90%,70-89%,<70%,EXTENDED,ISO
KRI-050,R-19,Security Testing Before Release,Percentage of releases with security testing completed,(Releases with security test / Total releases) × 100,%,MONTHLY,Release Management,False,100%,90-99%,<90%,CORE,ISO
KRI-051,R-20,Critical Dependency Vulnerabilities,Count of critical vulnerabilities in production dependencies,Count of critical CVEs in production app dependencies,Count,WEEKLY,SCA Tool,True,0,1-5,>5,CORE,ISO
KRI-052,R-20,Secrets in Code Repositories,Number of secrets/credentials detected in code repos,Count of secrets detected by scanning,Count,WEEKLY,Secret Scanner,True,0,1-5,>5,CORE,ISO
KRI-053,R-21,Weak Cipher Usage,Number of systems using deprecated cryptographic algorithms,"Count of systems with weak ciphers (DES, MD5, SHA-1, SSLv3)",Count,QUARTERLY,Vulnerability Scanner / SSL Labs,True,0,1-5,>5,EXTENDED,ISO
KRI-054,R-21,Encryption Key Rotation Compliance,Percentage of encryption keys rotated per policy,(Keys rotated on schedule / Keys requiring rotation) × 100,%,QUARTERLY,KMS / Certificate Manager,True,100%,90-99%,<90%,EXTENDED,ISO
KRI-055,R-22,SIEM Log Source Coverage,Percentage of critical systems sending logs to SIEM,(Critical systems with logging / Total critical systems) × 100,%,MONTHLY,SIEM,True,100%,95-99%,<95%,CORE,ISO
