treatmentId,riskId,scenarioId,title,description,treatmentType,priority,status,targetResidualScore,estimatedCost,costBenefit,targetStartDate,targetEndDate,acceptanceRationale,acceptanceCriteria
TP-001,R-001,R-001-S01,Enhanced Email Security,"Deploy advanced email security with AI-based phishing detection, implement DMARC/DKIM/SPF, enhance user awareness training program",MITIGATE,HIGH,IN_PROGRESS,8,150000,"ROI 3.2x based on €480K average ransomware cost avoided annually",2025-01-15,2025-06-30,,"Phishing click rate <5%, email threat block rate >99%"
TP-002,R-001,R-001-S02,Vulnerability Management Enhancement,"Implement automated patch management, reduce patch window to 7 days for critical CVEs, deploy virtual patching capability",MITIGATE,HIGH,PROPOSED,6,200000,"Reduces exploitation risk by 80%. Payback in 8 months based on incident cost avoidance",2025-02-01,2025-07-31,,"Critical patches within 7 days, 95% patch coverage"
TP-003,R-002,R-002-S01,Customer Data Protection Program,"Implement field-level encryption, deploy WAF with custom rules, enhance SAST/DAST coverage, implement data masking",MITIGATE,CRITICAL,IN_PROGRESS,6,350000,"GDPR fine avoidance potential €5M+. Customer trust preservation invaluable",2025-01-01,2025-09-30,,"Zero SQLi vulnerabilities in pentests, encryption at rest for all PII"
TP-004,R-002,R-002-S02,Insider Threat Program,"Implement UEBA, deploy enhanced DLP, establish access governance program, improve offboarding process",MITIGATE,HIGH,PROPOSED,8,180000,"Reduces insider risk by 60%. Compliance with data protection requirements",2025-03-01,2025-08-31,,"DLP coverage 100%, access reviews 100% on time"
TP-005,R-003,R-003-S01,Zero Trust Authentication,"Complete MFA rollout, implement passwordless authentication for high-risk systems, deploy adaptive authentication",MITIGATE,HIGH,IN_PROGRESS,4,120000,"Eliminates 99% of credential stuffing attacks. Industry best practice",2025-01-01,2025-04-30,,"100% MFA coverage, zero credential stuffing success"
TP-006,R-003,R-003-S02,Privileged Access Management,"Deploy full PAM solution, implement just-in-time access, session recording, credential vaulting",MITIGATE,CRITICAL,APPROVED,4,250000,"Privileged accounts are primary APT target. Critical control gap",2025-02-15,2025-08-15,,"All admin access via PAM, session recording 100%"
TP-007,R-004,R-004-S01,Third-Party Risk Program Enhancement,"Implement continuous vendor monitoring, enhance due diligence process, establish vendor security requirements",MITIGATE,MEDIUM,PROPOSED,10,80000,"DORA compliance requirement. Reduces concentration and security risk",2025-04-01,2025-10-31,,"All critical vendors SOC2 certified, continuous monitoring active"
TP-008,R-005,R-005-S01,Business Continuity Enhancement,"Upgrade DR site to active-active, implement automated failover, increase DR testing frequency",MITIGATE,MEDIUM,DRAFT,6,500000,"RTO reduction from 4 hours to 1 hour. Revenue protection during outages",2025-06-01,2026-03-31,,"RTO <1 hour, quarterly DR tests passing"
TP-009,R-006,R-006-S01,Cloud Security Posture Management,"Deploy CSPM tooling, implement infrastructure as code scanning, establish cloud security guardrails",MITIGATE,HIGH,IN_PROGRESS,6,90000,"Prevents data exposure incidents. Average cloud breach cost €4.5M",2025-01-15,2025-05-31,,"Zero public S3 buckets, 100% resource compliance"
TP-010,R-007,R-007-S01,Insider Risk Management,"Implement behavioral analytics, enhance access certification, improve separation of duties",MITIGATE,MEDIUM,PROPOSED,8,150000,"Comprehensive insider threat detection. Regulatory expectation",2025-05-01,2025-11-30,,"UEBA alerts reviewed within 4 hours, quarterly access reviews"
TP-011,R-010,R-010-S01,DDoS Protection Enhancement,"Deploy cloud-based DDoS mitigation, implement rate limiting, enhance capacity planning",MITIGATE,MEDIUM,APPROVED,6,75000,"Customer portal availability critical. SLA protection",2025-03-01,2025-06-30,,"Auto-mitigation <60 seconds, 100% attack absorption"
TP-012,R-009,R-009-S01,Compliance Management Program,"Implement GRC platform, automate compliance evidence, establish continuous monitoring",MITIGATE,HIGH,IN_PROGRESS,8,200000,"NIS2 and DORA compliance. Reduces audit preparation effort 60%",2025-01-01,2025-12-31,,"Zero material audit findings, automated evidence for 80% controls"
