scenarioId,riskId,title,cause,event,consequence,framework,sleLow,sleLikely,sleHigh,aro
R-01-S01,R-01,Absence of Information Security Policy,Lack of governance structure and management oversight; Security not prioritized at executive level,"Organization operates without documented, approved information security policy",Inconsistent security practices; Regulatory audit failures; No basis for enforcement; Staff unaware of expectations,ISO,100000,300000,750000,
R-01-S02,R-01,Unclear Security Roles & Responsibilities,No RACI matrix for security; Overlapping or missing responsibilities; No formal security function,Security tasks fall through cracks; Conflicting decisions made; Accountability unclear during incidents,Delayed incident response; Duplicated efforts or gaps; Blame culture; Failed audits,ISO,75000,200000,500000,
R-01-S03,R-01,Inadequate Segregation of Duties,Small team size; Cost pressures; No SoD policy or technical enforcement,"Single individual can initiate, approve, and execute sensitive transactions without oversight",Fraud goes undetected; Errors not caught; Compliance violations; Financial loss,ISO,50000,250000,1000000,
R-02-S01,R-02,No Established Authority Contacts,No documented procedures; Unclear who contacts whom; No relationship building,"During breach, organization doesn't know how/when to contact law enforcement, regulators, or CERT",Delayed notification; Regulatory penalties; Missed assistance; Legal exposure,ISO,50000,200000,500000,
R-02-S02,R-02,No Security Community Engagement,Not a member of ISAC or security forums; No peer information sharing,Industry-specific threat campaign targets sector; Organization has no early warning,Blindsided by attack; No peer support; Miss best practices; Slower detection,ISO,100000,350000,800000,
R-02-S03,R-02,No Threat Intelligence Program,No threat intel feeds; No analysis capability; Reactive security posture,Zero-day or emerging threat exploited before organization aware of its existence,Successful breach; No indicators to hunt for; Delayed detection,ISO,150000,500000,2000000,
R-03-S01,R-03,Security Not Integrated in Projects,No security gates in project methodology; Security consulted too late; Time pressure,New system deployed to production with security vulnerabilities; No threat modeling done,Vulnerable system exposed; Costly post-deployment remediation; Breach via new system,ISO,100000,400000,1500000,
R-03-S02,R-03,Undocumented Operating Procedures,Tribal knowledge; Staff turnover; No documentation requirements,Key person unavailable; Team cannot perform critical security operations correctly,Operational errors; Extended outages; Security gaps during absence,ISO,50000,200000,600000,
R-03-S03,R-03,Unauthorized Production Changes,No change management process; Emergency changes not tracked; Developer direct access,Unapproved change introduces vulnerability or causes outage,Service disruption; Security hole introduced; No rollback plan; Audit failure,ISO,75000,350000,1000000,
R-04-S01,R-04,Unknown Shadow IT Assets,Easy cloud provisioning; No shadow IT policy; Decentralized purchasing,Business unit deploys SaaS with customer data without IT knowledge or security review,Unknown attack surface; Data breach via unsecured service; Compliance violation,ISO,200000,750000,2500000,
R-04-S02,R-04,Misuse of Information Assets,No acceptable use policy; No monitoring; Unclear boundaries,"Employee uses corporate systems for unauthorized purposes (mining, personal business, piracy)",Legal liability; Malware introduction; Resource consumption; Reputation damage,ISO,25000,100000,400000,
R-04-S03,R-04,Assets Not Returned at Termination,No asset return process; No offboarding checklist; Remote employee,"Terminated employee retains corporate laptop, phone, or access tokens with sensitive data",Data breach; IP theft; Continued access risk; Compliance violation,ISO,50000,200000,750000,
R-05-S01,R-05,Misclassified Sensitive Data,No classification policy; No training; Complex data landscape,"PII or financial data classified as 'internal' instead of 'confidential', stored without encryption",Data breach with unprotected sensitive data; Regulatory fines; Notification costs,ISO,250000,800000,3000000,
R-05-S02,R-05,Insecure Data Transfer,No encryption requirements; Legacy systems; User convenience,"Sensitive data transmitted over unencrypted channel (HTTP, FTP, plain email)",Data intercepted; Credential theft; Man-in-the-middle attack success,ISO,150000,500000,1500000,
R-05-S03,R-05,Improper Data Deletion,No data retention policy; No secure deletion procedures; Storage cost is cheap,Data retained beyond legal requirement or recovered after 'deletion',Privacy violation; Legal discovery issues; Storage of unnecessary risk,ISO,75000,250000,750000,
R-05-S04,R-05,Unmasked Data in Non-Production,No test data management; Convenience; No masking tools,Production data with real PII copied to development/test environment,Wider exposure of sensitive data; Developer access to PII; Compliance violation,ISO,100000,350000,1000000,
R-06-S01,R-06,Weak Authentication Controls,No password policy; No MFA; User convenience prioritized,"Attacker compromises account via credential stuffing, brute force, or phishing",Unauthorized access; Account takeover; Lateral movement; Data theft,ISO,100000,400000,1500000,
R-06-S02,R-06,Excessive User Privileges,No least privilege policy; Role explosion; No access reviews,User or compromised account has access far beyond job requirements,Insider data theft; Compromised account causes massive breach; Fraud,ISO,150000,500000,2000000,
