actionId,treatmentPlanId,title,description,status,priority,dueDate,assignedTo,estimatedHours
ACT-001,TP-001,Deploy AI Email Gateway,"Procure and deploy AI-based email security gateway with advanced threat detection",IN_PROGRESS,HIGH,2025-02-28,Security Engineer,80
ACT-002,TP-001,Configure DMARC/DKIM/SPF,"Implement email authentication protocols across all domains",COMPLETED,HIGH,2025-01-31,Email Administrator,24
ACT-003,TP-001,Launch Phishing Simulation Program,"Establish monthly phishing simulations with progressive difficulty",IN_PROGRESS,MEDIUM,2025-03-15,Security Awareness Lead,40
ACT-004,TP-001,Develop User Training Content,"Create role-based security awareness training modules",NOT_STARTED,MEDIUM,2025-04-30,Training Coordinator,60
ACT-005,TP-002,Evaluate Patch Management Tools,"Assess and select automated patch management solution",COMPLETED,HIGH,2025-01-15,IT Operations Lead,32
ACT-006,TP-002,Deploy Patch Automation,"Implement automated patching for servers and endpoints",IN_PROGRESS,HIGH,2025-03-31,Systems Administrator,120
ACT-007,TP-002,Establish Virtual Patching,"Deploy WAF rules for zero-day protection pending patches",NOT_STARTED,CRITICAL,2025-04-30,Security Architect,48
ACT-008,TP-003,Implement Field-Level Encryption,"Deploy encryption for sensitive database fields",IN_PROGRESS,CRITICAL,2025-03-31,Database Administrator,160
ACT-009,TP-003,Deploy Custom WAF Rules,"Create application-specific WAF rules for customer portal",IN_PROGRESS,HIGH,2025-02-28,AppSec Engineer,80
ACT-010,TP-003,Enhance SAST Pipeline,"Integrate advanced SAST tools into CI/CD pipeline",NOT_STARTED,HIGH,2025-04-30,DevSecOps Lead,60
ACT-011,TP-003,Implement Data Masking,"Deploy dynamic data masking for non-production environments",NOT_STARTED,MEDIUM,2025-06-30,Data Engineer,80
ACT-012,TP-005,Complete MFA Rollout,"Enable MFA for remaining 20% of users including legacy systems",IN_PROGRESS,HIGH,2025-02-28,IAM Administrator,40
ACT-013,TP-005,Deploy Passwordless Auth,"Implement FIDO2/WebAuthn for privileged users",NOT_STARTED,MEDIUM,2025-04-15,IAM Engineer,80
ACT-014,TP-005,Configure Adaptive Auth,"Set up risk-based authentication policies",NOT_STARTED,MEDIUM,2025-04-30,Security Architect,48
ACT-015,TP-006,Deploy PAM Solution,"Install and configure privileged access management platform",IN_PROGRESS,CRITICAL,2025-04-30,Security Engineer,200
ACT-016,TP-006,Migrate Admin Accounts,"Onboard all administrative accounts to PAM vault",NOT_STARTED,HIGH,2025-06-30,IAM Administrator,120
ACT-017,TP-006,Enable Session Recording,"Configure session recording for all privileged sessions",NOT_STARTED,HIGH,2025-07-31,Security Engineer,40
ACT-018,TP-009,Deploy CSPM Tool,"Implement cloud security posture management tooling",IN_PROGRESS,HIGH,2025-02-28,Cloud Security Engineer,80
ACT-019,TP-009,Create IaC Scanning Pipeline,"Integrate Terraform/CloudFormation scanning in CI/CD",NOT_STARTED,HIGH,2025-04-15,DevOps Engineer,48
ACT-020,TP-009,Establish Cloud Guardrails,"Deploy preventive controls via AWS SCPs/Azure Policy",NOT_STARTED,MEDIUM,2025-05-31,Cloud Architect,60
ACT-021,TP-011,Procure DDoS Mitigation,"Contract cloud-based DDoS protection service",COMPLETED,HIGH,2025-02-15,Security Manager,16
ACT-022,TP-011,Configure Rate Limiting,"Implement application-level rate limiting",IN_PROGRESS,MEDIUM,2025-03-31,DevOps Engineer,24
ACT-023,TP-012,Deploy GRC Platform,"Implement governance risk compliance platform",IN_PROGRESS,HIGH,2025-03-31,GRC Analyst,160
ACT-024,TP-012,Map Controls to Framework,"Document control mappings for NIS2 and DORA",NOT_STARTED,HIGH,2025-06-30,Compliance Officer,80
