scenarioId,category,level,value,rationale,isResidual
R-001-S01,FINANCIAL,MAJOR,4,"Direct costs: €750K ransom + €200K recovery + €100K forensics. Indirect: €500K business interruption",false
R-001-S01,OPERATIONAL,MAJOR,4,"72-hour complete business halt. 2-week degraded operations during recovery",false
R-001-S01,LEGAL_REGULATORY,MODERATE,3,"Mandatory breach notification if data exfiltrated. Potential regulatory inquiry",false
R-001-S01,REPUTATION,MODERATE,3,"Media coverage likely. Customer confidence impact moderate if handled well",false
R-001-S02,FINANCIAL,SEVERE,5,"Extended downtime €2M+. Forensic costs. Potential regulatory fines for negligence",false
R-001-S02,OPERATIONAL,SEVERE,5,"Week+ complete outage. Full rebuild may be required. Supply chain impact",false
R-001-S02,LEGAL_REGULATORY,MAJOR,4,"Regulatory investigation likely. Potential enforcement action for inadequate patching",false
R-001-S02,REPUTATION,MAJOR,4,"Major media coverage. Customer and partner confidence severely impacted",false
R-002-S01,FINANCIAL,SEVERE,5,"GDPR fine up to 4% global revenue. Class action settlement. Customer churn",false
R-002-S01,OPERATIONAL,MODERATE,3,"System shutdown for investigation. Enhanced monitoring deployment",false
R-002-S01,LEGAL_REGULATORY,SEVERE,5,"GDPR Article 83 penalties. Mandatory DPA notification. Possible sanctions",false
R-002-S01,REPUTATION,SEVERE,5,"Major media coverage. Significant customer trust erosion. Executive accountability",false
R-002-S02,FINANCIAL,MAJOR,4,"Employee lawsuits. Mandatory credit monitoring. Investigation costs",false
R-002-S02,OPERATIONAL,MINOR,2,"HR system review and access changes. Limited operational impact",false
R-002-S02,LEGAL_REGULATORY,MAJOR,4,"Employment law violations. Data protection authority notification",false
R-002-S02,REPUTATION,MAJOR,4,"Employee trust damaged. Recruitment challenges. Internal morale impact",false
R-003-S01,FINANCIAL,MODERATE,3,"Fraud losses. Account recovery costs. Enhanced authentication deployment",false
R-003-S01,OPERATIONAL,MINOR,2,"Account lockouts cause support volume spike. Quick remediation possible",false
R-003-S01,LEGAL_REGULATORY,MINOR,2,"No mandatory notification unless significant data accessed",false
R-003-S01,REPUTATION,MINOR,2,"Limited external visibility if contained quickly",false
R-003-S02,FINANCIAL,SEVERE,5,"Full incident response. Potential ransom. Complete infrastructure rebuild",false
R-003-S02,OPERATIONAL,SEVERE,5,"Extended outage during forensics. All credentials require reset",false
R-003-S02,LEGAL_REGULATORY,MAJOR,4,"Likely regulatory notification. Audit of security controls",false
R-003-S02,REPUTATION,MAJOR,4,"Customer notification required. Partner confidence impacted",false
R-004-S01,FINANCIAL,MAJOR,4,"Business interruption. Alternative service costs. Contract penalties",false
R-004-S01,OPERATIONAL,MAJOR,4,"Dependent processes halted. Manual workarounds required",false
R-004-S01,LEGAL_REGULATORY,MODERATE,3,"Regulatory scrutiny of vendor management. Due diligence review",false
R-004-S01,REPUTATION,MODERATE,3,"Customer impact from service disruption. Vendor relationship strain",false
R-005-S01,FINANCIAL,MAJOR,4,"Revenue loss during outage. DR costs. Potential SLA penalties",false
R-005-S01,OPERATIONAL,SEVERE,5,"All operations halted. DR site activation. Recovery coordination",false
R-005-S01,LEGAL_REGULATORY,MODERATE,3,"Contractual SLA breaches. Regulatory reporting if prolonged",false
R-005-S01,REPUTATION,MODERATE,3,"Customer impact manageable if DR successful. Communication critical",false
